id,created,modified,logo,safa_id,name,acronym,website,headquarters,description,association_id,region_id
134,2025-06-09 13:24:17.836789,2025-06-09 13:24:17.836809,,MGXDM,SAFA CLERMONT LFA,,,,,4,20
135,2025-06-09 13:24:17.838900,2025-06-09 13:24:17.838920,,R3CLK,SAFA DURBAN CENTRAL LFA,,,,,4,20
136,2025-06-09 13:24:17.841249,2025-06-09 13:24:17.841269,,Y8U4Q,SAFA DURBAN SOUTH LFA,,,,,4,20
137,2025-06-09 13:24:17.843422,2025-06-09 13:24:17.843444,,T9GPH,SAFA GREATER CATO RIDGE LFA,,,,,4,20
138,2025-06-09 13:24:17.846123,2025-06-09 13:24:17.846149,,PQRFG,SAFA GREATER HILLCREST LFA,,,,,4,20
139,2025-06-09 13:24:17.848381,2025-06-09 13:24:17.848401,,BUXJ3,SAFA HAMMARSDALE LFA,,,,,4,20
140,2025-06-09 13:24:17.850587,2025-06-09 13:24:17.850606,,W0E40,SAFA INANDA LFA,,,,,4,20
141,2025-06-09 13:24:17.852741,2025-06-09 13:24:17.852760,,B10W2,SAFA KWAMASHU LFA,,,,,4,20
142,2025-06-09 13:24:17.854833,2025-06-09 13:24:17.854852,,0HBZF,SAFA NTUZUMA LFA,,,,,4,20
143,2025-06-09 13:24:17.857097,2025-06-09 13:24:17.857116,,OOPGV,SAFA PHOENIX LFA,,,,,4,20
144,2025-06-09 13:24:17.859248,2025-06-09 13:24:17.859268,,8MVEA,SAFA PINETOWN LFA,,,,,4,20
145,2025-06-09 13:24:17.861803,2025-06-09 13:24:17.861828,,DJHCS,SAFA PINETOWN SOUTH LFA,,,,,4,20
146,2025-06-09 13:24:17.864009,2025-06-09 13:24:17.864029,,62194,SAFA REUNION LFA,,,,,4,20
147,2025-06-09 13:24:17.866210,2025-06-09 13:24:17.866230,,XLAYA,SAFA TONGAAT LFA,,,,,4,20
148,2025-06-09 13:24:17.868297,2025-06-09 13:24:17.868315,,W2WCA,SAFA UMBUMBULU LFA,,,,,4,20
149,2025-06-09 13:24:17.870379,2025-06-09 13:24:17.870398,,KQA6V,SAFA UMLAZI LFA,,,,,4,20
